city,state,station,latitude,longitude,PM10,AQI,AQI_Category
Arrah,Bihar,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,51.0,51,Satisfactory
Guwahati,Assam,"IITG, Guwahati - PCBA",26.2028636,91.70046436,27.0,27,Good
Motihari,Bihar,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,34.0,34,Good
Gaya,Bihar,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,69.0,69,Satisfactory
Tirupati,Andhra_Pradesh,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,67.0,67,Satisfactory
Vijayawada,Andhra_Pradesh,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,51.0,51,Satisfactory
Naharlagun,Arunachal_Pradesh,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,40.0,40,Good
Patna,Bihar,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,69.0,69,Satisfactory
Patna,Bihar,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,115.0,110,Moderate
Patna,Bihar,"Muradpur, Patna - BSPCB",25.619651,85.147382,96.0,96,Satisfactory
Patna,Bihar,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,51.0,51,Satisfactory
Kunjemura,Chhattisgarh,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212,45.0,45,Good
Bhilai,Chhattisgarh,"32Bungalows, Bhilai - CECB",21.194815,81.31477,43.0,43,Good
Raipur,Chhattisgarh,"Krishak Nagar, Raipur - CECB",21.237755,81.705301,59.0,59,Satisfactory
Delhi,Delhi,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,171.0,148,Moderate
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,160.0,140,Moderate
Ahmedabad,Gujarat,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,41.0,41,Good
Gandhinagar,Gujarat,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,78.0,78,Satisfactory
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,150.0,134,Moderate
Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.570173,76.933762,151.0,134,Moderate
Delhi,Delhi,"Rohini, Delhi - DPCC",28.732528,77.11992,185.0,157,Moderate
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,175.0,150,Moderate
Thiruvananthapuram,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,16.0,16,Good
Thrissur,Kerala,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,62.0,62,Satisfactory
Bengaluru,Karnataka,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,39.0,39,Good
Kalyan,Maharashtra,"Khadakpada, Kalyan - MPCB",19.25292,73.142019,106.0,104,Moderate
Kalyan,Maharashtra,"Pimpleshwar Mandir, Kalyan - MPCB",19.192056,72.9585188,45.0,45,Good
Kolhapur,Maharashtra,"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398,53.0,53,Satisfactory
Latur,Maharashtra,"Sawe Wadi, Latur - MPCB",18.39963,76.57452,41.0,41,Good
Aurangabad,Maharashtra,"MIDC Chilkalthana, Aurangabad - MPCB",19.87562,75.38731,106.0,104,Moderate
Aurangabad,Maharashtra,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,50.0,50,Good
Jabalpur,Madhya Pradesh,"Suhagi, Jabalpur - JMC",23.218135,79.95777,76.0,76,Satisfactory
Indore,Madhya Pradesh,"Airport Area, Indore - IMC",22.7289,75.8076,41.0,41,Good
Nagpur,Maharashtra,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,98.0,98,Satisfactory
Nagpur,Maharashtra,"Ram Nagar, Nagpur - MPCB",21.143383,79.048912,124.0,116,Moderate
Mumbai,Maharashtra,"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,52.0,52,Satisfactory
Nashik,Maharashtra,"Pandav Nagari, Nashik - MPCB",19.9591346,73.7788008,46.0,46,Good
Malegaon,Maharashtra,"Mahesh Nagar, Malegaon - MPCB",20.555712,74.529236,51.0,51,Satisfactory
Mumbai,Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462,71.0,71,Satisfactory
Mumbai,Maharashtra,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,83.0,83,Satisfactory
Mumbai,Maharashtra,"Borivali East, Mumbai - MPCB",19.2243333,72.8658113,44.0,44,Good
Pune,Maharashtra,"Katraj Dairy, Pune - MPCB",18.45445,73.854155,34.0,34,Good
Suakati,Odisha,"OMC Colony, Suakati - OSPCB",21.606865,85.510538,46.0,46,Good
Tensa,Odisha,"Barsua Iron Ore Mines, Tensa - OSPCB",21.869985,85.167016,54.0,54,Satisfactory
Amritsar,Punjab,"Golden Temple, Amritsar - PPCB",31.62,74.876512,154.0,136,Moderate
Cuttack,Odisha,"CDA Area, Cuttack - OSPCB",20.48891,85.84768,28.0,28,Good
Nayagarh,Odisha,"Dabuna, Nayagarh - OSPCB",21.847279,85.416905,60.0,60,Satisfactory
Imphal,Manipur,"DM College of Science, Imphal - Manipur PCB",24.8207389,93.9423085,27.0,27,Good
Pune,Maharashtra,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,74.0,74,Satisfactory
Sangli,Maharashtra,"Vijay Nagar, Sangli - MPCB",16.5038,74.3623,54.0,54,Satisfactory
Bileipada,Odisha,"Tata Township, Bileipada - OSPCB",22.06156703,85.47409613,87.0,87,Satisfactory
Ludhiana,Punjab,"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,119.0,113,Moderate
Dholpur,Rajasthan,"Raja Ganj, Dholpur - RSPCB",26.699557,77.898881,124.0,116,Moderate
Jaipur,Rajasthan,"RIICO Sitapura, Jaipur - RSPCB",26.786682,75.827928,113.0,109,Moderate
Jodhpur,Rajasthan,"Mandor, Jodhpur - RSPCB",26.358805,73.047444,69.0,69,Satisfactory
Karauli,Rajasthan,"Satyawati Vihar, Karauli - RSPCB",26.506177,77.025989,80.0,80,Satisfactory
Jaisalmer,Rajasthan,"Sadar Bazar, Jaisalmer - RSPCB",26.912329,70.909168,107.0,105,Moderate
Chennai,TamilNadu,"Alandur Bus Depot, Chennai - CPCB",12.9099161,80.1076538,38.0,38,Good
Madurai,TamilNadu,"Uchapatti, Madurai - TNPCB",9.865935,78.022669,26.0,26,Good
Dindigul,TamilNadu,"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321,39.0,39,Good
Coimbatore,TamilNadu,"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349,23.0,23,Good
Tiruchirappalli,TamilNadu,"St Joseph College, Tiruchirappalli - TNPCB",10.830158,78.691849,42.0,42,Good
Kanchipuram,TamilNadu,"Kilambi, Kanchipuram - TNPCB",12.864618,79.659968,41.0,41,Good
Ghaziabad,Uttar_Pradesh,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,112.0,108,Moderate
